"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"1",2280000,28500,12,2008,4,"D","Orange",2,186.3,"Tre",4,"Fritt salg","Blokkleilighet",1,"7950.3",1,0,0,0,0,0,8,671,"0.0","671.0","0.0",0,1,1,80,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-27 02:00:00,"4627/14/454/1",4627,14,454,"1",23003791,"Rostaliene 54 F","rostaliene",54,"C",NA,"5300","Småhus",2384585,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig",5,154471,8.77,c(-39036.06, 6739596.3)
"2",4600000,63013.698630137,26,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,1000,"0.0","1000.0","0.0",0,3,1,73,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-20 02:00:00,"4601/166/419/10",4601,166,419,"10",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",5,"B","H0101","5018","Boligblokker",2901241,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig",10,4815068,0.47,c(-31697.51, 6734651.46)
"3",4060000,58000,27,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,1000,"0.0","1000.0","0.0",0,3,1,70,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-24 02:00:00,"4601/166/419/8",4601,166,419,"8",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",9,"B","H0101","5018","Boligblokker",767925,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig",8,4815066,0.47,c(-31697.51, 6734651.46)
"4",4090000,54533.3333333333,27,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,1000,"0.0","1000.0","0.0",0,1,1,75,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-02 02:00:00,"4601/166/419/3",4601,166,419,"3",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",5,"C","H0101","5018","Boligblokker",814487,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig",5,4815069,0.47,c(-31697.51, 6734651.46)
"5",5050000,63125,27,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,1000,"0.0","1000.0","0.0",0,3,1,80,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-26 02:00:00,"4601/166/419/9",4601,166,419,"9",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",7,"A","H0101","5018","Boligblokker",1048989,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig",11,4815070,0.47,c(-31697.51, 6734651.46)
"6",5200000,59090.9090909091,28,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,1000,"0.0","1000.0","0.0",0,1,1,88,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-10 02:00:00,"4601/166/419/5",4601,166,419,"5",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",3,"A","H0101","5018","Boligblokker",1140464,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig",5,4815065,0.47,c(-31697.51, 6734651.46)
"7",4690000,67000,25,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,1000,"0.0","1000.0","0.0",0,1,1,70,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-15 02:00:00,"4601/166/419/2",4601,166,419,"2",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",9,"A","H0101","5018","Boligblokker",820995,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig",11,4815073,0.47,c(-31697.51, 6734651.46)
"8",4670000,51888.8888888889,26,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,1000,"0.0","1000.0","0.0",0,1,1,90,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-23 01:00:00,"4601/166/419/4",4601,166,419,"4",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",3,"B","H0101","5018","Boligblokker",3377367,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig",8,4815076,0.47,c(-31697.51, 6734651.46)
"9",3320000,45479.4520547945,11,2011,5,"C","Red",1,144.77,"Tre",4,"Fritt salg","Blokkleilighet",1,"1815.1",1,0,0,0,0,0,2,146,"0.0","146.0","1.0",0,2,1,73,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-09 02:00:00,"4601/287/886/4",4601,287,886,"4",300057097,"STØLSVEGEN 133","stølsvegen",135,NA,"H0101","5262","Småhus",872026,"Rekkehus","Bolig","Bolig",4,5727960,8.6,c(-23440.25, 6734808.13)
"10",2300000,33823.5294117647,68,1952,2,"F","Orange",2,328.58,"Mur/tegl",2,"Fritt salg","Uoppgitt",1,"899.8",0,0,0,0,0,0,6,629,"0.0","629.0","0.0",0,1,1,68,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-05 01:00:00,"4601/17/188/1",4601,17,188,"1",139414829,"GRØNNESTØLSVEIEN 38","grønnestølsveien",38,NA,NA,"5073","Boligblokker",2074124,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig",13,4883426,4.53,c(-32148.89, 6729793.04)
