"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"1",2900000,23200,13,2007,4,"D","Orange",2,176.38,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"182.7",0,0,0,0,0,0,1,125,"0.0","125.0","0.0",0,1,1,125,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2020,"2020Q3",2020-07-20 02:00:00,"4627/17/547/NA",4627,17,547,"0",23005077,"KOLLEVÅGTJØRNA 2","kollevågtjørna",2,NA,"H0101","5310","Småhus",2769720,"Rekkehus","Bolig","Bolig",11,155612,12.34,c(-41649.58, 6742052.29)
"2",4150000,70338.9830508475,28,1992,4,"D","Orange",2,225.66,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"963.3",0,0,0,0,0,0,2,178,"0.0","178.0","0.0",0,1,1,59,2,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-18 01:00:00,"4627/4/1018/NA",4627,4,1018,"0",9825517,"VESTRE VARDANE 18","vestre vardane",18,NA,"H0101","5306","Småhus",2243515,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",13,96525,8.93,c(-37223.21, 6741592.05)
"3",4450000,28343.949044586,21,1998,4,"D","Orange",2,166.99,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"489.8",0,0,0,0,0,0,1,157,"0.0","157.0","0.0",0,1,1,157,5,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-18 01:00:00,"4624/51/354/NA",4624,51,354,"0",16460877,"KUHNLEVEGEN 125","kuhnlevegen",125,NA,"H0101","5200","Småhus",202023,"Enebolig","Bolig","Bolig",12,2352419,24.99,c(-28096.67, 6709646.71)
"4",2700000,12442.3963133641,39,1980,2,"F","Orange",2,317.03,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"1136.0",0,0,0,0,0,0,1,217,"0.0","217.0","0.0",0,1,1,217,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2019,"2019Q3",2019-07-11 02:00:00,"4632/130/100/NA",4632,130,100,"0",17650432,"Vardevegen 65","vardevegen",65,NA,"H0101","5953","Småhus",810729,"Enebolig","Bolig","Bolig",11,1425535,49.17,c(-42908.77, 6782277.72)
"5",4435000,31013.986013986,33,1988,4,"D","Orange",2,228.5,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"758.2",0,0,0,0,0,0,1,146,"0.0","146.0","0.0",0,1,1,143,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-15 02:00:00,"4627/12/1400/NA",4627,12,1400,"0",9820787,"Marikovneset 28","marikovneset",28,NA,"H0101","5302","Småhus",720616,"Enebolig","Bolig","Bolig",11,94201,7.8,c(-39653.16, 6735987.74)
"6",5670000,21000,32,1988,3,"E","Orange",2,256.45,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"544.2",0,0,0,0,0,0,1,270,"0.0","270.0","0.0",0,1,1,270,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-06-02 02:00:00,"4627/7/756/NA",4627,7,756,"0",9818154,"Holmedalshammaren 17","holmedalshammaren",17,NA,"H0101","5300","Småhus",2529915,"Enebolig","Bolig","Bolig",5,92549,6.1,c(-37624.86, 6736765.85)
"7",5990000,99833.3333333333,35,1987,3,"E","Orange",2,248.72,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"737.9",0,0,0,0,0,0,2,269,"0.0","269.0","0.0",0,1,1,60,2,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-03-15 01:00:00,"4624/8/473/NA",4624,8,473,"0",9775668,"Lerkevegen 33","lerkevegen",33,NA,"H0101","5212","Småhus",288500,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",5,2319568,18.61,c(-27155.86, 6716368.39)
"8",3010000,24672.131147541,8,2012,5,"C","Orange",2,135.82,"Tre",4,"Fritt salg","Tomannsbolig",1,"345.2",0,0,0,0,0,0,1,122,"0.0","122.0","93.0",0,1,1,122,4,2,3,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-07 02:00:00,"4626/10/208/NA",4626,10,208,"0",300339519,"Austegardsvegen 85","austegardsvegen",85,NA,"H0101","5357","Småhus",2320479,"Tomannsbolig, vertikaldelt","Bolig","Bolig",8,6236440,18.56,c(-49931.86, 6729414.34)
"9",3655000,30206.6115702479,17,2003,4,"D","Red",1,178.64,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"775.9",0,0,0,0,0,0,1,121,"0.0","121.0","0.0",0,1,1,121,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-07-03 02:00:00,"4631/134/420/NA",4631,134,420,"0",19239586,"Vardane 113","vardane",113,NA,"H0101","5911","Småhus",2696542,"Enebolig","Bolig","Bolig",5,5836171,20.48,c(-34603.19, 6754639.1)
"10",3690000,19523.8095238095,13,2009,5,"C","Red",1,141.23,"Tre",4,"Fritt salg","Tomannsbolig",1,"413.2",0,0,0,0,0,0,1,189,"0.0","189.0","1.0",0,1,1,189,7,2,3,1,0,2,"Hovedetasje","Kjøkken",2,"Tilkn. privat vannverk",2,"Privat kloakk",2022,"2022Q1",2022-01-02 01:00:00,"4624/71/104/NA",4624,71,104,"0",25378083,"Berge 77 B","berge",77,"B","H0101","5211","Småhus",1077,"Tomannsbolig, vertikaldelt","Bolig","Bolig",7,2362082,23.56,c(-23709.46, 6712284.92)
