"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"1",2900000,23200,13,2007,4,"D","Orange",2,176.38,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"182.7",0,0,0,0,0,0,1,125,"0.0","125.0","0.0",0,1,1,125,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2020,"2020Q3",2020-07-20 02:00:00,"4627/17/547/NA",4627,17,547,"0",23005077,"KOLLEVÅGTJØRNA 2","kollevågtjørna",2,NA,"H0101","5310","Småhus",2769720,"Rekkehus","Bolig","Bolig",11,155612,12.34,c(-41649.58, 6742052.29)
"2",6100000,21403.5087719298,35,1984,3,"E","Orange",2,274.86,"Tre",4,"Fritt salg","Frittliggende enebolig",2,"918.8",0,0,0,0,0,0,1,285,"0.0","285.0","0.0",0,1,1,285,5,2,3,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-03 02:00:00,"4601/188/326/NA",4601,188,326,"0",9419829,"Myrdalskogen 195","myrdalskogen",195,NA,"H0101","5117","Småhus",500732,"Enebolig","Bolig","Bolig",7,4797847,8.75,c(-31984.98, 6743078.92)
"3",6350000,83552.6315789474,32,1989,4,"D","Yellow",3,196.29,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"725.1",0,0,0,0,0,0,2,232,"0.0","232.0","0.0",0,1,1,76,3,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-04 01:00:00,"4601/43/698/NA",4601,43,698,"0",9489118,"SANDDALSRINGEN 17","sanddalsringen",17,NA,"H0101","5225","Småhus",1389031,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",4,4808265,7.88,c(-30619.42, 6726572.78)
"4",5190000,31454.5454545455,35,1984,4,"D","Orange",2,202.17,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"308.4",1,0,0,0,0,0,1,165,"0.0","165.0","0.0",0,1,1,165,4,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-12 01:00:00,"4601/121/670/NA",4601,121,670,"0",9423346,"NORDÅSBROTET 52","nordåsbrotet",52,NA,"H0101","5235","Småhus",1497812,"Rekkehus","Bolig","Bolig",7,4798378,9.91,c(-34368.11, 6724695.36)
"5",4150000,70338.9830508475,28,1992,4,"D","Orange",2,225.66,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"963.3",0,0,0,0,0,0,2,178,"0.0","178.0","0.0",0,1,1,59,2,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-18 01:00:00,"4627/4/1018/NA",4627,4,1018,"0",9825517,"VESTRE VARDANE 18","vestre vardane",18,NA,"H0101","5306","Småhus",2243515,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",13,96525,8.93,c(-37223.21, 6741592.05)
"6",4450000,28343.949044586,21,1998,4,"D","Orange",2,166.99,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"489.8",0,0,0,0,0,0,1,157,"0.0","157.0","0.0",0,1,1,157,5,1,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-18 01:00:00,"4624/51/354/NA",4624,51,354,"0",16460877,"KUHNLEVEGEN 125","kuhnlevegen",125,NA,"H0101","5200","Småhus",202023,"Enebolig","Bolig","Bolig",12,2352419,24.99,c(-28096.67, 6709646.71)
"7",7650000,33849.5575221239,23,1998,5,"C","Orange",2,157.02,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"884.9",0,0,0,0,0,0,2,226,"0.0","226.0","0.0",0,1,1,226,6,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-07 02:00:00,"4601/20/1678/NA",4601,20,1678,"0",9582037,"KRÅKENESDALEN 321","kråkenesdalen",321,NA,"H0101","5153","Småhus",836673,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",6,4748512,6.8,c(-33241.26, 6727627.89)
"8",2700000,12442.3963133641,39,1980,2,"F","Orange",2,317.03,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"1136.0",0,0,0,0,0,0,1,217,"0.0","217.0","0.0",0,1,1,217,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2019,"2019Q3",2019-07-11 02:00:00,"4632/130/100/NA",4632,130,100,"0",17650432,"Vardevegen 65","vardevegen",65,NA,"H0101","5953","Småhus",810729,"Enebolig","Bolig","Bolig",11,1425535,49.17,c(-42908.77, 6782277.72)
"9",4435000,31013.986013986,33,1988,4,"D","Orange",2,228.5,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"758.2",0,0,0,0,0,0,1,146,"0.0","146.0","0.0",0,1,1,143,5,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-15 02:00:00,"4627/12/1400/NA",4627,12,1400,"0",9820787,"Marikovneset 28","marikovneset",28,NA,"H0101","5302","Småhus",720616,"Enebolig","Bolig","Bolig",11,94201,7.8,c(-39653.16, 6735987.74)
"10",4590000,46363.6363636364,28,1994,4,"D","Orange",2,232.1,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"350.3",0,0,0,0,0,0,1,99,"0.0","99.0","0.0",0,1,1,99,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-11-21 01:00:00,"4601/37/215/NA",4601,37,215,"0",9523278,"AURDALSLIA 7","aurdalslia",7,NA,"H0101","5253","Småhus",1320617,"Rekkehus","Bolig","Bolig",10,4763554,9.87,c(-35568.19, 6725113.7)
