"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"1",2900000,13,2007,4,"Orange",176.38,"Tre","Fritt salg","Rekkehus/kjede",1,"182.7",0,0,0,0,0,0,0,1,"125.0","0.0","125.0","0.0",0,1,1,"125.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2020,"2020Q3",2020-07-20,"4627/17/547/NA","4627","17","547","NA",23005077,"KOLLEVÅGTJØRNA 2","kollevågtjørna",2,NA,"H0101","5310","Småhus",2769720,"Rekkehus","Bolig","Bolig","6742052.29","-41649.58"
"3",4500000,58,1962,2,"Orange",322.08,"Tre","Fritt salg","Frittliggende enebolig",1,"1098.6",0,0,0,0,0,0,0,1,"257.0","0.0","257.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-02,"4601/206/50/NA","4601","206","50","NA",139681428,"FLAKTVEITRINDEN 77","flaktveitrinden",77,NA,"H0101","5135","Småhus",2955426,"Enebolig","Bolig","Bolig","6741871.7","-29173.09"
"5",2280000,12,2008,4,"Orange",186.3,"Tre","Fritt salg","Blokkleilighet",1,"7950.3",1,0,0,0,0,0,0,8,"671.0","0.0","671.0","0.0",0,1,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-27,"4627/14/454/1","4627","14","454","1",23003791,"Rostaliene 54 F","rostaliene",54,"C",NA,"5300","Småhus",2384585,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6739596.3","-39036.06"
"6",4190000,121,1900,3,"Orange",261.39,"Tre","Fritt salg","Frittliggende enebolig",1,"796.6",0,0,0,0,0,0,0,1,"153.0","0.0","153.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q2",2021-06-15,"4601/207/226/NA","4601","207","226","NA",139776666,"LIASTØLEN 6 B","liastølen",6,"B","H0101","5132","Småhus",720522,"Enebolig","Bolig","Bolig","6742676.95","-29357.99"
"8",3400000,33,1988,5,"Yellow",156.43,"Tre","Opphør av samboerskap","Frittliggende enebolig",3,"824.0",0,0,0,0,0,0,0,1,"333.0","0.0","333.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-02,"4601/116/151/NA","4601","116","151","NA",9457437,"SKRANESKOGEN 62","skraneskogen",62,NA,"H0101","5252","Småhus",1370023,"Enebolig","Bolig","Bolig","6724435.16","-36114.75"
"9",4600000,26,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,3,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-20,"4601/166/419/10","4601","166","419","10",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",5,"B","H0101","5018","Boligblokker",2901241,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"10",4060000,27,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,3,1,"70.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-24,"4601/166/419/8","4601","166","419","8",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",9,"B","H0101","5018","Boligblokker",767925,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"11",4090000,27,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"75.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-02,"4601/166/419/3","4601","166","419","3",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",5,"C","H0101","5018","Boligblokker",814487,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"13",5050000,27,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,3,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-26,"4601/166/419/9","4601","166","419","9",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",7,"A","H0101","5018","Boligblokker",1048989,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"14",5200000,28,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"88.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-10,"4601/166/419/5","4601","166","419","5",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",3,"A","H0101","5018","Boligblokker",1140464,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
