"","P","Alder","B.Ar","EL.Kar","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"15",4690000,25,1994,3,1,201.07,1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"70.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-15,"4601/166/419/2","4601","166","419","2",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",9,"A","H0101","5018","Boligblokker",820995,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"19",4550000,104,1915,3,1,227.15,4,"Annet","Blokkleilighet",1,"228.5",0,0,0,0,0,0,0,6,"586.0","0.0","586.0","0.0",0,2,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2019,"2019Q2",2019-05-15,"4601/168/510/3","4601","168","510","3",139710738,"Kirkegaten 43","kirkegaten",43,NA,"H0202","5036","Boligblokker",553606,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6736007.2","-31572.59"
"29",6100000,35,1984,3,2,274.86,4,"Fritt salg","Frittliggende enebolig",2,"918.8",0,0,0,0,0,0,0,1,"285.0","0.0","285.0","0.0",0,1,1,"285.0",5,2,3,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q2",2019-05-03,"4601/188/326/NA","4601","188","326","NA",9419829,"Myrdalskogen 195","myrdalskogen",195,NA,"H0101","5117","Småhus",500732,"Enebolig","Bolig","Bolig","6743078.92","-31984.98"
"47",1e+06,67,1952,2,2,328.58,2,"Opphør av samboerskap","Blokkleilighet",1,"899.8",0,0,0,0,0,0,0,6,"629.0","0.0","629.0","0.0",0,2,1,"68.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-05,"4601/17/188/4","4601","17","188","4",139414829,"GRØNNESTØLSVEIEN 38","grønnestølsveien",38,NA,NA,"5073","Boligblokker",1034494,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6729793.04","-32148.89"
"49",5190000,35,1984,4,2,202.17,4,"Fritt salg","Rekkehus/kjede",1,"308.4",1,0,0,0,0,0,0,1,"165.0","0.0","165.0","0.0",0,1,1,"165.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-12-12,"4601/121/670/NA","4601","121","670","NA",9423346,"NORDÅSBROTET 52","nordåsbrotet",52,NA,"H0101","5235","Småhus",1497812,"Rekkehus","Bolig","Bolig","6724695.36","-34368.11"
"58",4150000,82,1937,3,2,232.21,2,"Fritt salg","Blokkleilighet",1,"442.9",0,0,0,0,0,0,0,4,"416.0","0.0","416.0","0.0",0,1,2,"88.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-09-18,"4601/163/48/2","4601","163","48","2",139269152,"Fløenbakken 8 A","fløenbakken",8,"A","H0101","5009","Boligblokker",1090899,"Store sammenbygde boligbygg på 2 etg.","Bolig","Bolig","6732871.8","-30545.04"
"71",1840000,89,1930,2,2,329.61,4,"Fritt salg","Blokkleilighet",1,"1691.9",0,0,0,0,0,0,0,5,"585.0","0.0","585.0","187.0",0,2,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-03,"4601/302/580/2","4601","302","580","2",139372360,"FABRIKKVEGEN 27","fabrikkvegen",25,NA,"H0101","5265","Småhus",1166764,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6740981.51","-25168.29"
"93",4450000,21,1998,4,2,166.99,4,"Fritt salg","Frittliggende enebolig",1,"489.8",0,0,0,0,0,0,0,1,"157.0","0.0","157.0","0.0",0,1,1,"157.0",5,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-18,"4624/51/354/NA","4624","51","354","NA",16460877,"KUHNLEVEGEN 125","kuhnlevegen",125,NA,"H0101","5200","Småhus",202023,"Enebolig","Bolig","Bolig","6709646.71","-28096.67"
"111",2700000,39,1980,2,2,317.03,4,"Fritt salg","Frittliggende enebolig",1,"1136.0",0,0,0,0,0,0,0,1,"217.0","0.0","217.0","0.0",0,1,1,"217.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",0,"Ikke Oppgitt",2019,"2019Q3",2019-07-11,"4632/130/100/NA","4632","130","100","NA",17650432,"Vardevegen 65","vardevegen",65,NA,"H0101","5953","Småhus",810729,"Enebolig","Bolig","Bolig","6782277.72","-42908.77"
"113",3475000,119,1900,1,1,379.63,2,"Fritt salg","Blokkleilighet",1,"204.9",0,0,0,0,0,0,0,8,"656.0","0.0","656.0","0.0",1,1,2,"76.0",3,1,1,1,0,"Loft","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q1",2019-02-07,"4601/164/399/8","4601","164","399","8",139277147,"STORMS GATE 3","storms gate",3,NA,NA,"5006","Boligblokker",163895,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6733522.3","-32183.16"
