"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"1",2900000,13,2007,4,"Orange",176.38,"Tre","Fritt salg","Rekkehus/kjede",1,"182.7",0,0,0,0,0,0,0,1,"125.0","0.0","125.0","0.0",0,1,1,"125.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",2,"Privat kloakk",2020,"2020Q3",2020-07-20,"4627/17/547/NA","4627","17","547","NA",23005077,"KOLLEVÅGTJØRNA 2","kollevågtjørna",2,NA,"H0101","5310","Småhus",2769720,"Rekkehus","Bolig","Bolig","6742052.29","-41649.58"
"3",4500000,58,1962,2,"Orange",322.08,"Tre","Fritt salg","Frittliggende enebolig",1,"1098.6",0,0,0,0,0,0,0,1,"257.0","0.0","257.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-02,"4601/206/50/NA","4601","206","50","NA",139681428,"FLAKTVEITRINDEN 77","flaktveitrinden",77,NA,"H0101","5135","Småhus",2955426,"Enebolig","Bolig","Bolig","6741871.7","-29173.09"
"5",2280000,12,2008,4,"Orange",186.3,"Tre","Fritt salg","Blokkleilighet",1,"7950.3",1,0,0,0,0,0,0,8,"671.0","0.0","671.0","0.0",0,1,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-27,"4627/14/454/1","4627","14","454","1",23003791,"Rostaliene 54 F","rostaliene",54,"C",NA,"5300","Småhus",2384585,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6739596.3","-39036.06"
"9",4600000,26,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,3,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-08-20,"4601/166/419/10","4601","166","419","10",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",5,"B","H0101","5018","Boligblokker",2901241,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"17",4670000,26,1994,3,"Red",201.07,"Betong","Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"90.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-11-23,"4601/166/419/4","4601","166","419","4",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",3,"B","H0101","5018","Boligblokker",3377367,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"21",6250000,105,1915,3,"Red",227.15,"Tre","Fritt salg","Blokkleilighet",1,"228.5",0,0,0,0,0,0,0,6,"586.0","0.0","586.0","0.0",0,3,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q4",2020-12-10,"4601/168/510/5","4601","168","510","5",139710738,"Kirkegaten 43","kirkegaten",43,NA,"H0202","5036","Boligblokker",3469859,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6736007.2","-31572.59"
"28",4460000,105,1915,3,"Red",227.15,"Tre","Fritt salg","Blokkleilighet",1,"228.5",0,0,0,0,0,0,0,6,"586.0","0.0","586.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q2",2020-06-09,"4601/168/510/1","4601","168","510","1",139710738,"Kirkegaten 43","kirkegaten",43,NA,"H0202","5036","Boligblokker",2567086,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6736007.2","-31572.59"
"44",2300000,68,1952,2,"Orange",328.58,"Mur/tegl","Fritt salg","Uoppgitt",1,"899.8",0,0,0,0,0,0,0,6,"629.0","0.0","629.0","0.0",0,1,1,"68.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-05,"4601/17/188/1","4601","17","188","1",139414829,"GRØNNESTØLSVEIEN 38","grønnestølsveien",38,NA,NA,"5073","Boligblokker",2074124,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6729793.04","-32148.89"
"51",2125000,63,1957,2,"Red",422.08,"Tre","Opphør av samboerskap","Tomannsbolig",2,"451.1",0,0,0,0,0,0,0,1,"132.0","0.0","132.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-05-13,"4601/216/506/NA","4601","216","506","NA",139703715,"TROLLIEN 3","trollien",3,NA,"H0101","5101","Småhus",2451258,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6739890.04","-32834.97"
"54",1200000,37,1983,4,"Yellow",201.13,"Tre","Fritt salg","Frittliggende enebolig",1,"1470.9",0,0,0,0,0,0,0,1,"0.0","0.0","0.0","0.0",0,1,1,"0.0",4,0,0,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q4",2020-11-23,"4623/4/79/NA","4623","4","79","NA",3421910,"Solbjørgvegen 421","solbjørgvegen",421,NA,"H0101","5652","Småhus",3376262,"Enebolig","Bolig","Bolig","6728897.42","-15184.95"
