"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest","Andelsnummer","InternIdBruksenhet"
"4",4060000,27,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,"1000.0","0.0","1000.0","0.0",0,3,1,"70.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-24,"4601/166/419/8",4601,166,419,"8",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",9,"B","H0101","5018","Boligblokker",767925,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51",8,4815066
"5",4090000,27,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"75.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-07-02,"4601/166/419/3",4601,166,419,"3",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",5,"C","H0101","5018","Boligblokker",814487,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51",5,4815069
"6",5050000,27,1994,3,"E","Red",1,201.07,"Betong",1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,12,"1000.0","0.0","1000.0","0.0",0,3,1,"80.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q3",2021-08-26,"4601/166/419/9",4601,166,419,"9",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",7,"A","H0101","5018","Boligblokker",1048989,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51",11,4815070
"11",6350000,32,1989,4,"D","Yellow",3,196.29,"Tre",4,"Fritt salg","Frittliggende enebolig",1,"725.1",0,0,0,0,0,0,2,"232.0","0.0","232.0","0.0",0,1,1,"76.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-04,"4601/43/698/NA",4601,43,698,"NA",9489118,"SANDDALSRINGEN 17","sanddalsringen",17,NA,"H0101","5225","Småhus",1389031,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6726572.78","-30619.42",4,4808265
"17",3020000,90,1931,2,"F","Orange",2,412.72,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"130.8",0,0,0,0,0,0,4,"208.0","0.0","208.0","0.0",0,1,1,"50.0",2,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-06-18,"4601/162/498/1",4601,162,498,"1",139259653,"CAMILLA COLLETTS GATE 5 F","camilla colletts gate",5,"F","H0101","5052","Småhus",741310,"Store sammenbygde boligbygg på 2 etg.","Bolig","Bolig","6731915.16","-31102.14",4,4853657
"18",3170000,83,1938,3,"E","Orange",2,222.28,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"426.1",0,0,0,0,0,0,6,"553.0","0.0","553.0","0.0",0,1,1,"54.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-05-10,"4601/160/445/2",4601,160,445,"2",139234456,"Inndalsveien 122","inndalsveien",122,NA,NA,"5063","Boligblokker",549465,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6730707.44","-30974.97",6,4848417
"19",2900000,83,1938,3,"E","Orange",2,222.28,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"426.1",0,0,0,0,0,0,6,"553.0","0.0","553.0","0.0",0,1,2,"54.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-10-25,"4601/160/445/1",4601,160,445,"1",139234456,"Inndalsveien 122","inndalsveien",122,NA,NA,"5063","Boligblokker",1334516,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6730707.44","-30974.97",8,4848422
"21",2225000,84,1937,3,"E","Orange",2,232.21,"Mur/tegl",2,"Fritt salg","Blokkleilighet",1,"442.9",0,0,0,0,0,0,4,"416.0","0.0","416.0","0.0",0,1,1,"88.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-14,"4601/163/48/1",4601,163,48,"1",139269152,"Fløenbakken 8 A","fløenbakken",8,"A","H0101","5009","Boligblokker",429675,"Store sammenbygde boligbygg på 2 etg.","Bolig","Bolig","6732871.8","-30545.04",9,4855195
"22",2900000,11,2010,5,"C","Red",1,144.94,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"1815.1",1,0,0,0,0,0,2,"146.0","0.0","146.0","1.0",0,1,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q2",2021-04-30,"4601/287/886/2",4601,287,886,"2",300057095,"Stølsvegen 137","stølsvegen",137,NA,"H0101","5262","Småhus",506781,"Rekkehus","Bolig","Bolig","6734808.13","-23440.25",7,5727963
"24",2050000,91,1930,2,"F","Orange",2,329.61,"Tre",4,"Fritt salg","Blokkleilighet",1,"1691.9",0,0,0,0,0,0,5,"585.0","0.0","585.0","187.0",0,1,1,"91.0",3,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-11-30,"4601/302/580/4",4601,302,580,"4",139372360,"FABRIKKVEGEN 27","fabrikkvegen",29,NA,"H0101","5265","Småhus",1507929,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6740981.51","-25168.29",11,6816942
