"","P","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak_num","BLEnergikWh","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"14",5200000,28,1994,3,"E",1,201.07,1,"Fritt salg","Blokkleilighet",1,"286.6",0,0,0,0,1,0,0,12,"1000.0","0.0","1000.0","0.0",0,1,1,"88.0",4,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q4",2022-10-10,"4601/166/419/5","4601","166","419","5",9529705,"Nedre Hamburgersmauet 3 A","nedre hamburgersmauet",3,"A","H0101","5018","Boligblokker",1140464,"Store sammenb. boligbygg på 5 etg. el. mer","Bolig","Bolig","6734651.46","-31697.51"
"39",3320000,11,2011,5,"C",1,144.77,4,"Fritt salg","Blokkleilighet",1,"1815.1",1,0,0,0,0,0,0,2,"146.0","0.0","146.0","1.0",0,2,1,"73.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-08-09,"4601/287/886/4","4601","287","886","4",300057097,"STØLSVEGEN 133","stølsvegen",135,NA,"H0101","5262","Småhus",872026,"Rekkehus","Bolig","Bolig","6734808.13","-23440.25"
"43",2280000,85,1937,1,"G",2,539.35,1,"Opphør av samboerskap","Blokkleilighet",1,"370.4",0,0,0,0,0,0,0,6,"360.0","0.0","360.0","0.0",0,2,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q1",2022-01-24,"4601/158/706/4","4601","158","706","4",139708806,"Nordre Skogveien 71","nordre skogveien",71,NA,"H0101","5057","Småhus",88794,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6732819.89","-32336.02"
"45",2400000,70,1952,2,"F",2,328.58,2,"Fritt salg","Blokkleilighet",1,"899.8",0,0,0,0,0,0,0,6,"629.0","0.0","629.0","0.0",0,1,3,"68.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-09-02,"4601/17/188/3","4601","17","188","3",139414829,"GRØNNESTØLSVEIEN 38","grønnestølsveien",38,NA,NA,"5073","Boligblokker",971334,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6729793.04","-32148.89"
"48",2420000,70,1952,2,"F",2,328.58,2,"Fritt salg","Blokkleilighet",1,"899.8",0,0,0,0,0,0,0,6,"629.0","0.0","629.0","0.0",0,2,3,"68.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q1",2022-01-03,"4601/17/188/6","4601","17","188","6",139414829,"GRØNNESTØLSVEIEN 38","grønnestølsveien",38,NA,NA,"5073","Boligblokker",3193,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6729793.04","-32148.89"
"72",1925000,92,1930,2,"F",2,329.61,4,"Fritt salg","Blokkleilighet",1,"1691.9",0,0,0,0,0,0,0,5,"585.0","0.0","585.0","187.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-04-12,"4601/302/580/1","4601","302","580","1",139372360,"FABRIKKVEGEN 27","fabrikkvegen",25,NA,"H0101","5265","Småhus",405915,"Stort frittliggende boligbygg på 3 og 4 etg.","Bolig","Bolig","6740981.51","-25168.29"
"74",1150000,72,1950,1,"G",2,517.07,4,"Fritt salg","Blokkleilighet",1,"743.0",0,0,0,0,0,0,0,4,"391.0","0.0","391.0","0.0",0,2,2,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2022,"2022Q3",2022-08-16,"4628/22/266/3","4628","22","266","3",175830898,"SKULEGATA 28","skulegata",28,NA,NA,"5722","Småhus",897356,"Andre småhus m/3 boliger el fl","Bolig","Bolig","6752406.02","-1743.45"
"78",3060000,132,1890,3,"E",1,221.28,4,"Fritt salg","Blokkleilighet",1,"121.1",0,0,0,0,1,0,0,6,"281.0","0.0","281.0","0.0",1,1,1,"42.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-06-30,"4601/167/1381/2","4601","167","1381","2",139321782,"FORSTANDERSMAUET 2 A","forstandersmauet",2,"A",NA,"5003","Boligblokker",717150,"Store sammenb. boligbygg på 3 og 4 etg.","Bolig","Bolig","6734860.4","-31729.63"
"82",3725000,16,2006,4,"D",1,143.94,1,"Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,2,1,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q2",2022-05-02,"4601/87/162/6","4601","87","162","6",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",468649,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07"
"87",3200000,16,2006,4,"D",1,143.94,1,"Fritt salg","Blokkleilighet",1,"1527.6",0,0,0,0,0,0,0,18,"2214.0","0.0","2214.0","0.0",0,2,5,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2022,"2022Q3",2022-07-28,"4601/87/162/8","4601","87","162","8",23597845,"Apeltunhaugene 105","apeltunhaugene",105,NA,"H0201","5238","Boligblokker",829073,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6723037.48","-32741.07"
