Dato;Pris;Fellesgjeld;Totalpris;BRA;Boligtype;Eieform;Byggeår;Fylke;Kommune;CityDistrict;Etasje;Soverom;Tomtestørrelse
2023-01-01;2750000;281000;3031000;69;Leilighet;Borettslag;1973;Vestland;BERGEN;Årstad;1;2;3234,4
2023-01-01;3000000;0;3000000;50;Leilighet;Selveier;2020;Vestland;BERGEN;Fana;3;1;5759
2023-01-01;6950000;0;6950000;157;Rekkehus;Selveier;2017;Vestland;BERGEN;Fyllingsdalen;NULL;3;41298
2023-01-01;3590000;48982;3638982;83;Leilighet;Selveier;2014;Vestland;BERGEN;Fyllingsdalen;2;2;8150,4
2023-01-01;3990000;0;3990000;123;Enebolig;Selveier;1956;Vestland;BERGEN;Ytrebygda;NULL;1;1865,7
2023-01-01;3090000;0;3090000;66;Leilighet;Selveier;1947;Vestland;BERGEN;Årstad;2;1;342,1
2023-01-01;4800000;100833;4900833;183;Rekkehus;Borettslag;1968;Vestland;BERGEN;Åsane;NULL;4;40859,7
2023-01-01;7300000;0;7300000;127;Tomannsbolig;Selveier;1956;Vestland;BERGEN;Årstad;NULL;2;325,2
2023-01-01;3130000;0;3130000;71;Leilighet;Selveier;2012;Vestland;BERGEN;Fana;1;2;7470,7
2023-01-01;7300000;0;7300000;216;Enebolig;Selveier;1997;Vestland;BERGEN;Ytrebygda;NULL;4;788
2023-01-01;4900000;0;4900000;127;Rekkehus;Selveier;1954;Vestland;BERGEN;Årstad;NULL;3;209,1
2023-01-01;2900000;156993;3056993;53;Leilighet;Borettslag;1939;Vestland;BERGEN;Årstad;2;1;402,6
2023-01-01;5570000;0;5570000;74;Leilighet;Selveier;1891;Vestland;BERGEN;Bergenhus;3;1;329,9
2023-01-01;3100000;114103;3214103;77;Leilighet;Borettslag;1972;Vestland;BERGEN;Fyllingsdalen;4;2;37598,4
2023-01-01;6450000;0;6450000;145;Enebolig;Selveier;1994;Vestland;BERGEN;Ytrebygda;NULL;3;386,4
2023-01-01;3000000;372367;3372367;124;Rekkehus;Borettslag;1981;Vestland;BERGEN;Arna;NULL;3;36116,3
2023-01-01;3615000;0;3615000;58;Leilighet;Selveier;2017;Vestland;BERGEN;Årstad;1;1;1298
2023-01-01;1920000;0;1920000;26;Leilighet;Selveier;1900;Vestland;BERGEN;Årstad;2;1;206,7
2023-01-01;4230000;113531;4343531;105;Rekkehus;Borettslag;1972;Vestland;BERGEN;Fyllingsdalen;NULL;3;37921,6
2023-01-01;6270000;0;6270000;130;Rekkehus;Selveier;1989;Vestland;BERGEN;Ytrebygda;NULL;3;151,3
