Knr;Gnr;Bnr;Snr;Fnr;Andelsnummer;Bygningsnummer;GateAdresse;Postnummer;Poststed;BruksEnhetsNummer;Organisasjonsnummer;Bygningskategori;Byggear;Energikarakter;Oppvarmingskarakter;Utstedelsesdato;TypeRegistrering;Attestnummer;BeregnetLevertEnergiTotaltkWhm2;BeregnetFossilandel;Materialvalg;HarEnergiVurdering;EnergiVurderingDato
301;223;42;50;;;80752776;Sandakerveien 74 A;484;OSLO;H0317;;Boligblokker;1973;F;Red;2022-01-31T23:46:57.0000000;Simple;A2022-1354036;257.76;;Betong;False;
3443;60;53;;;;157186175;Vestre Toten veg 1583;2846;BØVERBRU;H0101;;Småhus;1979;F;Yellow;2022-01-31T23:42:41.0000000;Simple;A2022-1354035;231.89;;Tre;False;
301;141;101;;;;80300158;Haugerudveien 2;674;OSLO;H0402;948512823;Boligblokker;1968;G;Green;2022-01-31T23:12:26.0000000;Simple;A2022-1354033;350.01;;Betong;False;
301;163;74;;;;81412987;Martin Linges vei 6;692;OSLO;H0402;850186162;Boligblokker;1966;G;Green;2022-01-31T22:45:54.0000000;Simple;A2022-1354031;392.58;;Betong;False;
301;180;428;;;;81028397;Gamle Bygdevei 222;1284;OSLO;H0101;;Småhus;1986;F;Green;2022-01-31T22:45:23.0000000;Simple;A2022-1354030;284.07;;Tre;False;
301;208;462;4;;;80479107;Nordahl Bruns gate 15 B;165;OSLO;H0102;;Boligblokker;1898;G;Orange;2022-01-31T22:41:27.0000000;Simple;A2022-1354029;634.18;;Mur/tegl;False;
1517;41;775;8;;;10206391;Drammensvegen 39;6060;HAREID;H0101;;Småhus;1994;D;Red;2022-01-31T22:41:05.0000000;Simple;A2022-1354028;217.02;;Tre;False;
1517;41;775;8;;;10206391;Drammensvegen 39;6060;HAREID;H0101;;Småhus;1994;D;Red;2022-01-31T22:38:31.0000000;Simple;A2022-1354027;217.02;;Tre;False;
301;159;228;;;;80391951;Langbølgen 41;1150;OSLO;H0401;950948272;Boligblokker;1966;D;Green;2022-01-31T22:35:22.0000000;Simple;A2022-1354026;163.89;;Betong;False;
3030;81;2479;47;;0;;Kanalveien 9;2004;Lillestrøm;H0301;;Boligblokker;2011;D;Green;2022-01-31T22:34:17.0000000;Simple;A2022-1354025;136.93;;Betong;False;
3805;1003;121;;;9;;Hølen verft 9 E;3260;Larvik;H0101;;Småhus;2001;D;Green;2022-01-31T22:30:33.0000000;Simple;A2022-1354023;182.05;;Tre;False;
301;217;85;7;;;80529538;Dalsbergstien 8;170;OSLO;H0302;;Boligblokker;1896;F;Red;2022-01-31T22:26:05.0000000;Simple;A2022-1354022;226.28;;Mur/tegl;False;
3002;192;33;;;;148365164;Beiteveien 27;1526;MOSS;H0101;;Småhus;1964;F;Yellow;2022-01-31T22:21:08.0000000;Simple;A2022-1354019;254.56;;Tre;False;
1516;29;138;;;;10192870;Kjerringnesmyra 32;6065;ULSTEINVIK;H0101;;Småhus;1985;E;Yellow;2022-01-31T22:05:57.0000000;Simple;A2022-1354017;217.88;;Tre;False;
1119;26;891;;;;24861996;Storægrå 10 A;4365;NÆRBØ;H0101;;Småhus;1998;C;Yellow;2022-01-31T21:54:02.0000000;Simple;A2022-1354016;151.28;;Tre;False;
301;75;812;;;360;;Kurveien 28;495;Oslo;H0401;948152436;Boligblokker;1952;G;Orange;2022-01-31T21:52:30.0000000;Simple;A2022-1354015;325.04;;Mur/tegl;False;
4601;167;8;4;;;139309219;Øvre Sandviksveien 10;5034;BERGEN;H0201;;Småhus;1900;G;Red;2022-01-31T21:50:33.0000000;Simple;A2022-1354014;546.9;;Tre;False;
4205;73;12;;;;168557841;Valleveien 17;4513;MANDAL;;;Småhus;1885;G;Orange;2022-01-31T21:41:40.0000000;Simple;A2022-1354012;471.44;;Tre;False;
4601;47;150;9;;;;Osvegen 50 N;5228;NESTTUN;H0101;;Småhus;2015;B;Orange;2022-01-31T21:38:13.0000000;Simple;A2022-1354011;128.92;;Tre;False;
3801;132;565;;;;8128065;Ballings gate 7;3188;HORTEN;H0101;;Småhus;1995;E;Orange;2022-01-31T21:33:56.0000000;Simple;A2022-1354010;225.54;;Tre;False;
1108;111;885;2;;;24848086;Olav Kyrres gate 8 E;4307;SANDNES;H0204;991933786;Boligblokker;2009;D;Red;2022-01-31T21:31:44.0000000;Simple;A2022-1354009;162;;Tre;False;
3422;36;868;;;;300684876;Storjegerveien 13;2460;OSEN;H0101;;Småhus;2018;C;Orange;2022-01-31T21:26:51.0000000;Simple;A2022-1354008;165.03;;Tre;False;
3003;2081;283;;;;;Ordfører Karlsens vei 6;1715;Yven;H0101;;Småhus;1962;F;Yellow;2022-01-31T21:25:25.0000000;Simple;A2022-1354005;297.39;;Mur/tegl;False;
1505;4;504;;;;12600194;Siktepunktet 2 G;6514;KRISTIANSUND N;H0101;;Småhus;1975;F;Orange;2022-01-31T21:23:22.0000000;Simple;A2022-1354004;277.4;;Tre;False;
4601;167;1181;3;;;139319885;Ole Eides gate 5;5031;BERGEN;H0201;;Boligblokker;1880;G;Red;2022-01-31T21:12:20.0000000;Simple;A2022-1353999;506.49;;Tre;False;
4204;150;1648;6;;;8916810;Festningsgata 39;4611;KRISTIANSAND S;H0302;;Boligblokker;1982;F;Red;2022-01-31T21:09:38.0000000;Simple;A2022-1353998;261.34;;Tre;False;
4626;45;230;3;;;300568260;Ebbesvikfjellet 7 C;5350;BRATTHOLMEN;H0101;;Boligblokker;2016;D;Red;2022-01-31T21:06:42.0000000;Simple;A2022-1353996;124.33;;Tre;False;
3048;62;406;;;;300701644;Sandsoppsvingen 31 B;3320;VESTFOSSEN;H0101;;Småhus;2019;B;Orange;2022-01-31T20:52:43.0000000;Simple;A2022-1353991;111.77;;Tre;False;
4204;37;610;2;;;300141031;Eidshaven 34;4634;KRISTIANSAND S;U0103;;Boligblokker;2011;D;Green;2022-01-31T20:45:41.0000000;Simple;A2022-1353987;144.98;;Betong;False;
4627;8;260;2;;;9823026;Løbakken 1;5300;KLEPPESTØ;H0101;;Småhus;1957;F;Orange;2022-01-31T20:44:59.0000000;Simple;A2022-1353986;271.91;;Tre;False;
5402;50;224;;;;12480415;Hinnsteinveien 65;9415;HARSTAD;H0101;;Småhus;1969;G;Yellow;2022-01-31T20:42:21.0000000;Simple;A2022-1353984;359.77;;Tre;False;
301;148;313;;;156;;Grasveien 48;681;OSLO;H0101;950 386 223;Småhus;1962;F;Yellow;2022-01-31T20:38:53.0000000;Simple;A2022-1353983;261.39;;Tre;False;
3029;100;804;;;;300683296;Kåre B. Werners gate 37;1475;FINSTADJORDET;H0101;921483376;Småhus;2020;B;Green;2022-01-31T20:34:17.0000000;Simple;A2022-1353981;129.69;;Tre;False;
3014;57;213;h0202;0;2;;rugdeveien 33b;1850;mysen;h0202;;Boligblokker;1984;F;Red;2022-01-31T20:29:59.0000000;Simple;A2022-1353980;238.62;;Betong;False;
3005;314;96;;;;163339536;Batteriveien 3;3060;SVELVIK;;;Småhus;1979;F;Yellow;2022-01-31T20:25:19.0000000;Simple;A2022-1353979;264.77;;Tre;False;
301;237;50;;0;120;;Biskop Jens Nilssøns gate 17 B;659;Oslo;H0203;985225389;Boligblokker;2004;C;Green;2022-01-31T20:24:03.0000000;Simple;A2022-1353978;129.21;;Betong;False;
3030;36;30;;;;6883915;Prost Petersens vei 63;2019;SKEDSMOKORSET;U0101;;Småhus;1989;E;Orange;2022-01-31T20:16:01.0000000;Simple;A2022-1353975;241.79;;Tre;False;
4601;158;714;2;;;139218957;Skoglien 7;5056;BERGEN;H0102;;Boligblokker;1937;G;Red;2022-01-31T20:10:03.0000000;Simple;A2022-1353973;525.62;;Tre;False;
1121;46;268;8;;;300485815;Raunåkerstubben 13;4342;UNDHEIM;H0201;;Boligblokker;2016;C;Red;2022-01-31T20:08:07.0000000;Simple;A2022-1353972;125.79;;Tre;False;
4601;158;319;;;;139214927;Hordagaten 17 G;5055;BERGEN;H0201;;Småhus;1935;G;Orange;2022-01-31T20:08:02.0000000;Simple;A2022-1353971;375.57;;Mur/tegl;False;
