Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
3403,1,3842,,,25222,,E.J. Berghs veg 25A,2316,Hamar,H0202,,Boligblokker,1969,F,Green,2018-01-31T23:54:46.0000000,Simple,A2018-851363,241.02,,Betong,False,
3805,1009,116,,,,16613398,Tømmeråsen 22,3260,LARVIK,,,Småhus,1995,D,Yellow,2018-01-31T23:47:09.0000000,Simple,A2018-851362,176.19,,Tre,False,
0301,35,374,5,,,,Ekelyveien 2j,0374,Oslo,H0101,,Småhus,2004,D,Orange,2018-01-31T23:42:53.0000000,Simple,A2018-851361,171.63,,Tre,False,
0301,180,572,6,,,300455772,Helga Vaneks vei 9,1281,OSLO,H0106,,Boligblokker,2016,D,Green,2018-01-31T23:27:02.0000000,Simple,A2018-851359,145.42,,Betong,False,
3020,43,503,,,,149571051,Christian Krohgs vei 48,1415,OPPEGÅRD,H0101,,Småhus,1977,E,Yellow,2018-01-31T23:18:58.0000000,Simple,A2018-851358,231.85,,Tre,False,
4601,208,207,,,54,,Rollandslia 114,5115,ULSET,H0302,,Boligblokker,1975,E,Red,2018-01-31T23:16:57.0000000,Simple,A2018-851357,187.73,,Betong,False,
3047,91,243,,,258,,Elgetråkket 4D,3370,vikersund,H0202,,Boligblokker,1980,F,Red,2018-01-31T23:06:41.0000000,Simple,A2018-851355,231,,Betong,False,
3411,32,557,,,,300004899,Viulvegen 24,2385,BRUMUNDDAL,,993213608,Boligblokker,2009,B,Yellow,2018-01-31T22:59:37.0000000,Simple,A2018-851354,101.02,,Betong,False,
0301,231,20,17,,,,Åkebergveien 56 A,0650,Oslo,H0202,,Boligblokker,1938,F,Red,2018-01-31T22:53:48.0000000,Simple,A2018-851353,233.82,,Betong,False,
3001,141,698,,,,6194273,Kalkspatveien 3,1784,HALDEN,H0101,,Småhus,1988,E,Orange,2018-01-31T22:40:51.0000000,Simple,A2018-851351,228.5,,Tre,False,
1832,107,19,,,,188278299,Nordfallet 40,8646,KORGEN,H0101,,Småhus,1958,G,Yellow,2018-01-31T22:31:59.0000000,Simple,A2018-851349,362.78,,Tre,False,
5401,200,1138,2,,,11453872,Rektor Horsts gate 22,9009,TROMSØ,,,Småhus,1953,C,Orange,2018-01-31T22:23:37.0000000,Simple,A2018-851348,163.03,,Tre,False,
3031,2,4,,,41,,Ospelia11,1481,Hagan,H0301,,Boligblokker,2006,D,Red,2018-01-31T22:15:35.0000000,Simple,A2018-851347,146.34,,Betong,False,
3005,32,60,,,,,Tinnsjøveien 7,3053,Steinberg,H0101,,Småhus,1956,G,Orange,2018-01-31T22:06:33.0000000,Simple,A2018-851346,400.79,,Tre,False,
3033,29,92,1,,,23444372,Bakkevegen 28 B,2040,KLØFTA,H0101,,Småhus,2008,D,Red,2018-01-31T22:04:36.0000000,Simple,A2018-851345,168.58,,Tre,False,
3002,2,973,,,12,,Svaebakken 5,1532,Moss,H0203,,Boligblokker,1968,G,Green,2018-01-31T22:00:13.0000000,Simple,A2018-851344,274.58,,Betong,False,
5001,417,75,13,,,21033650,Mellomila 70,7018,TRONDHEIM,,,Boligblokker,2001,D,Red,2018-01-31T21:58:00.0000000,Simple,A2018-851342,135.03,,Stål,False,
4203,52,721,19,,,166911885,Skoleveien 6 T,4810,EYDEHAVN,H0301,,Boligblokker,2009,D,Red,2018-01-31T21:47:10.0000000,Simple,A2018-851340,156.22,,Tre,False,
3030,56,119,54,,38,,Åsenhagen 16E,2020,Skedsmokorset,H0101,952934260,Småhus,1967,F,Yellow,2018-01-31T21:46:58.0000000,Simple,A2018-851339,276.63,,Betong,False,
0301,195,105,,,,,Måkeveien 11,0139,Oslo,H0101,,Småhus,1957,G,Green,2018-01-31T21:40:59.0000000,Simple,A2018-851336,383.35,,Tre,False,
3021,99,52,,,,300385566,Kongeveien 144 C,1407,VINTERBRO,H0101,,Småhus,2014,B,Yellow,2018-01-31T21:39:55.0000000,Simple,A2018-851335,90.69,,Tre,False,
3019,8,268,,,,148680795,Planetveien 20,1540,VESTBY,H0101,,Småhus,1971,E,Yellow,2018-01-31T21:37:41.0000000,Simple,A2018-851334,220.04,,Tre,False,
1804,70,630,,,,201561,Ørntuva 21,8050,TVERLANDET,H0101,,Småhus,1985,E,Yellow,2018-01-31T21:34:22.0000000,Simple,A2018-851332,219.12,,Tre,False,
1119,25,117,,,,171535859,Furuvegen 1,4365,NÆRBØ,H0101,,Småhus,1962,G,Yellow,2018-01-31T21:31:25.0000000,Simple,A2018-851331,318.16,,Tre,False,
3808,241,338,,,,164991105,Viggo Hansteens gate 24,3679,NOTODDEN,H0101,,Småhus,1954,G,Orange,2018-01-31T21:26:59.0000000,Simple,A2018-851328,400.94,,Mur/tegl,False,
0301,100,39,,,196,,Tante Ulrikkes vei 3,0984,0984,H0202,948301288,Boligblokker,1970,E,Red,2018-01-31T21:13:33.0000000,Simple,A2018-851323,188.66,,Betong,False,
4601,34,208,,,,139446666,Storrinden 140,5252,SØREIDGREND,,,Småhus,1962,G,Orange,2018-01-31T21:13:05.0000000,Simple,A2018-851322,311.8,,Tre,False,
1133,99,8,,,,172247563,Ryfylkevegen 5744,4137,ÅRDAL I RYFYLKE,H0101,,Småhus,1939,G,Orange,2018-01-31T21:07:10.0000000,Simple,A2018-851319,520.94,,Tre,False,
3811,129,420,,,,8326444,Fagerheimgaten 41,3115,TØNSBERG,H0101,,Småhus,1985,E,Yellow,2018-01-31T21:04:10.0000000,Simple,A2018-851318,233.78,,Tre,False,
0301,218,84,18,,,80536070,Bjerregaards gate 70 A,0174,OSLO,H0502,,Boligblokker,1899,G,Orange,2018-01-31T20:58:50.0000000,Simple,A2018-851316,469.57,,Mur/tegl,False,
0301,217,365,,0,43,80533519,Thereses gate 24A,0168,Oslo,L0101,958319940,Boligblokker,1900,G,Orange,2018-01-31T20:47:20.0000000,Simple,A2018-851312,397.44,,Mur/tegl,False,
3030,27,1,37,,,23306158,Gåsevikveien 16,2007,KJELLER,H0102,,Boligblokker,2012,D,Red,2018-01-31T20:41:56.0000000,Simple,A2018-851310,150.67,,Betong,False,
4601,49,295,60,,,9456228,Vallalia 205,5227,NESTTUN,H0301,,Boligblokker,1988,E,Orange,2018-01-31T20:32:15.0000000,Simple,A2018-851309,168.06,,Tre,False,
3030,56,79,,,,150869161,Kvaestubben 1,2020,SKEDSMOKORSET,H0101,,Småhus,1968,G,Orange,2018-01-31T20:07:19.0000000,Simple,A2018-851307,372.78,,Tre,False,
